l1,l2,l3,l4,l5
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711154-0 Конденсаторні батареї
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711200-5 Електронні табло
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711300-6 Електронні хронометражні системи
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711310-9 Системи обліку відвідувачів
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711400-7 Електронні лампи та трубки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711410-0 Електронно-променеві трубки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711420-3 Лампи та пристрої надвисокочастотного діапазону
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711421-0 Магнетрони
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711422-7 Пристрої надвисокочастотного діапазону
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711423-4 Радіообладнання надвисокочастотного діапазону
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711424-1 Клістрони
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711440-9 Приймально-підсилювальні лампи та трубки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711500-8 Частини електронних блоків
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,31711510-1 Частини електричних конденсаторів
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31711000-3 Електронне приладдя,"31711520-4 Частини електричних резисторів, реостатів і потенціометрів"
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712100-1 Мікроелектронні машини й апарати
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712110-4 Електронні інтегральні схеми та мікроблоки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712111-1 Телефонні картки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712112-8 SIM-картки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712113-5 Картки з інтегральними схемами
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712114-2 Електронні інтегральні схеми
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712115-9 Мікроблоки
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712116-6 Мікропроцесори
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712117-3 Корпуси інтегральних схем
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712118-0 Гнізда чи кріплення для інтегральних схем
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712200-2 Мікросистеми
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712300-3 Друковані плати
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712310-6 Змонтовані друковані плати
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712320-9 Незмонтовані друковані плати
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712330-2 Напівпровідникові прилади
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712331-9 Фотоелементи
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712332-6 Тиристори
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712335-7 Оптопари
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712336-4 Кварцові осцилятори
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712340-5 Діоди
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712341-2 Світлодіоди
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712343-6 Стабілітрони (діоди Зенера)
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712344-3 Діоди Шотткі
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712347-4 Силові діоди чи сонячні елементи з вбудованими діодами
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712348-1 Лазерні діоди
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712350-8 Транзистори
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712353-9 Метал-оксидні польові транзистори (MOSFET)
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31710000-6 Електронне обладнання,31712000-0 Мікроелектронні машини й апарати та мікросистеми,31712360-1 Змонтовані п’єзоелектричні кристали
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31720000-9 Електромеханічне обладнання,,
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31730000-2 Електротехнічне обладнання,,
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31730000-2 Електротехнічне обладнання,31731000-9 Електротехнічне приладдя,
"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","31700000-3 Електронне, електромеханічне та електротехнічне обладнання",31730000-2 Електротехнічне обладнання,31731000-9 Електротехнічне приладдя,31731100-0 Модулі
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання",,,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32210000-8 Обладнання для телерадіомовлення,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32210000-8 Обладнання для телерадіомовлення,32211000-5 Виробниче устаткування для телерадіомовлення,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32220000-1 Телевізійна передавальна апаратура без приймальних пристроїв,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32220000-1 Телевізійна передавальна апаратура без приймальних пристроїв,32221000-8 Радіомаяки,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32220000-1 Телевізійна передавальна апаратура без приймальних пристроїв,32222000-5 Пристрої кодування відеосигналів,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32220000-1 Телевізійна передавальна апаратура без приймальних пристроїв,32223000-2 Апаратура для передавання відеосигналу,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32220000-1 Телевізійна передавальна апаратура без приймальних пристроїв,32224000-9 Телевізійна передавальна апаратура,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32231000-1 Апаратура для замкнутих телевізійних систем,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32232000-8 Обладнання для відеоконференцій,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32233000-5 Ретрансляційні радіостанції,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32234000-2 Камери відеоспостереження,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32235000-9 Системи відеоспостереження замкнутого типу,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32236000-6 Радіотелефони,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32230000-4 Апаратура для передавання радіосигналу з приймальним пристроєм,32237000-3 Портативні радіостанції,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32240000-7 Телевізійні камери,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32250000-0 Мобільні телефони,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32250000-0 Мобільні телефони,32251000-7 Автомобільні телефони,32251100-8 Гарнітури «вільні руки»
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32250000-0 Мобільні телефони,32252000-4 Телефони стандарту GSM,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32250000-0 Мобільні телефони,32252000-4 Телефони стандарту GSM,32252100-5 Мобільні телефони з гарнітурою «вільні руки»
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32250000-0 Мобільні телефони,32252000-4 Телефони стандарту GSM,32252110-8 Мобільні телефони з бездротовою гарнітурою «вільні руки»
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32260000-3 Обладнання для передавання даних,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32200000-5 Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення",32270000-6 Цифрова передавальна апаратура,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32310000-9 Радіоприймачі,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32321000-9 Телепроекційне обладнання,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32321000-9 Телепроекційне обладнання,32321200-1 Аудіовізуальне обладнання
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32321000-9 Телепроекційне обладнання,32321300-2 Аудіовізуальні матеріали
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32322000-6 Мультимедійне обладнання,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32323000-3 Відеомонітори,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32323000-3 Відеомонітори,32323100-4 Кольорові відеомонітори
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32323000-3 Відеомонітори,32323300-6 Відеообладнання
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32323000-3 Відеомонітори,32323400-7 Відеовідтворювальне обладнання
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32323000-3 Відеомонітори,32323500-8 Системи відеоспостереження
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32324000-0 Телевізори,
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32324000-0 Телевізори,32324100-1 Кольорові телевізори
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32324000-0 Телевізори,32324300-3 Телевізійне обладнання
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32324000-0 Телевізори,32324310-6 Супутникові антени
"32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","32300000-6 Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу",32320000-2 Телевізійне й аудіовізуальне обладнання,32324000-0 Телевізори,32324400-4 Телевізійні антени
